what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790774661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790774727
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790774978
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790780533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1487790784087
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790787417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790787572
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487790792523
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790864684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790868022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790869232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790877573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790879017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790882042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790889283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790890753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790892331
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790892918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790895495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790896265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790897191
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790900218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790906794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790908435
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790909597
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790911704
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1487790924641
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1487790924772
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1487790926219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1487790927419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487790929022
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1487790931710
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1487790934496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790958688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790958750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790958874
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1487790971866
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1487790977777
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487790980618
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487790981322
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487790981481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1487790981977
