what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1486562944469
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1486562944487
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1486562944654
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1486562975616
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1486562975779
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1486562976802
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1486562977464
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1486562980534
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1486562981250
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1486562985935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563010278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563011725
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1486563011863
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1486563011863
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1486563012727
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563014196
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1486563015680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563015712
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1486563015727
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563015727
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563021629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563033633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563038885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563062420
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1486563062504
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1486563062573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563076413
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563084283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563085199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563086171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563152997
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563153159
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563153328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563153497
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563154344
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563176553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563176721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563176906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563177053
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563177222
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563177386
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563177569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563185198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563186629
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563187873
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563189729
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563192714
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563193576
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1486563201137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563239369
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563240170
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563241670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563242723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563242738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563244191
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563244823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1486563246538
